Kepler ID,KOI,Morph,Mult,BJD0,BJD0 Err,Period,Period Err,Kepmag,Teff,RA,Dec
1026032,,0.15,1,54966.773813,0.030112,8.460438,2.30e-5,14.813,5715,291.04410,36.72930
1026957,958,0.01,1,54956.017106,0.011314,21.761306,8.81e-5,12.559,4845,291.25450,36.74360
1161345,984,0.24,1,55005.028983,0.023798,4.287456,8.60e-6,11.631,5836,291.04880,36.83990
1432214,998,0.00,1,55047.039254,0.037980,161.788300,1.58e-3,15.661,5814,291.38270,37.07300
1433410,,0.74,1,54999.951811,0.014174,0.283275,3.10e-6,14.119,6003,291.63770,37.08230
1433980,3924,0.62,1,55000.366398,0.054653,1.592634,6.20e-6,14.915,6345,291.76630,37.09720
1571511,362,0.17,1,54954.504752,0.065876,14.022451,4.72e-5,13.424,5804,290.99690,37.19920
1572353,,0.91,1,54964.674573,0.013123,0.228931,1.00e-7,15.234,4470,291.18860,37.16160
1573836,,-1.00,1,55000.034563,,3.557093,6.60e-6,13.124,6283,291.50250,37.17750
1575690,3658,0.31,1,54965.432738,0.013150,2.252428,4.30e-6,15.625,4140,291.88190,37.18910
1722276,1008,0.00,1,55081.923700,0.035212,569.950000,7.35e-3,14.645,5370,291.69670,37.23800
1868650,,1.00,1,54953.769678,0.028231,0.584731,5.00e-7,13.453,10733,291.53940,37.33560
1873513,4928,0.16,1,55001.074635,0.014651,3.290383,5.29e-5,15.669,3109,292.57990,37.37640
1995732,3351,0.03,1,55049.455853,0.074804,77.362721,5.44e-4,15.673,5163,286.21600,37.42520
2010607,4929,-1.00,1,54974.489675,,18.632296,7.10e-5,11.347,6122,290.50560,37.45900
2012362,,0.93,1,54964.744705,0.021930,0.386323,3.00e-7,14.121,6218,290.92520,37.47630
2019076,3585,0.16,1,55004.072218,0.023465,7.129228,1.87e-5,15.671,5624,292.46250,37.44260
2141697,,0.98,1,54953.836742,0.019676,0.331043,2.00e-7,13.399,6049,286.34490,37.50180
2159783,,0.87,1,54964.975549,0.022460,0.373884,2.00e-7,14.965,5643,291.35940,37.55330
2161623,6094,0.54,1,54999.599837,0.044144,2.283470,6.18e-5,14.312,6507,291.74450,37.59100
2162283,,1.00,1,54954.341553,0.049680,0.906378,9.00e-7,9.551,6683,291.89180,37.55680
2162994,,0.42,1,54965.631653,0.036112,4.101596,8.10e-6,14.162,5410,292.05800,37.59210
2166200,3735,0.11,1,55006.127339,0.022259,8.096956,6.39e-5,17.637,6344,292.73370,37.55930
2167890,3670,0.29,1,55185.843253,0.018062,2.648301,5.70e-6,12.858,4837,293.09360,37.51450
2302092,,0.88,1,54964.690581,0.025649,0.294673,2.00e-7,14.440,5245,291.26230,37.69790
2305277,,0.98,1,54964.986693,0.020035,0.378772,3.00e-7,15.101,5694,291.97070,37.65120
2305372,,0.58,1,54965.954227,0.035813,1.404692,1.70e-6,13.821,5664,291.99030,37.67280
2305543,4936,0.50,1,55003.400909,0.017121,1.362273,1.90e-6,12.545,5623,292.02690,37.60070
2306740,,0.27,1,54966.425207,0.067457,10.306987,3.06e-5,13.545,5647,292.26980,37.69820
2306756,113,0.00,1,54999.342231,0.044178,386.600000,5.05e-3,12.394,5362,292.27370,37.67160
2307199,151,0.07,1,55006.176594,0.020973,13.447111,4.47e-5,14.000,6028,292.37480,37.63100
2307206,3549,0.01,1,55086.538682,0.106873,204.031379,2.28e-3,15.734,5342,292.37620,37.65750
2308957,,0.59,1,54965.166461,0.048525,2.219684,3.30e-6,14.520,5697,292.75180,37.60350
2309587,5982,0.44,1,54965.101351,0.020303,1.838511,2.50e-6,13.925,5560,292.89970,37.65930
