# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Apr 11 18:42:16 2026
#
# User preference: *
#
# CONSTRAINT:  where (koi_disposition like '%CONFIRMED%')
#
# COLUMN kepid:          KepID
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_score:      Disposition Score
#
kepid,koi_disposition,koi_score
10797460,CONFIRMED,1.0000
10797460,CONFIRMED,0.9690
10854555,CONFIRMED,1.0000
10872983,CONFIRMED,1.0000
10872983,CONFIRMED,1.0000
10872983,CONFIRMED,0.9920
10910878,CONFIRMED,1.0000
11446443,CONFIRMED,0.8110
10666592,CONFIRMED,1.0000
6922244,CONFIRMED,0.9980
10984090,CONFIRMED,1.0000
10526549,CONFIRMED,1.0000
10583066,CONFIRMED,1.0000
10601284,CONFIRMED,1.0000
10601284,CONFIRMED,0.9800
10601284,CONFIRMED,0.9710
10662202,CONFIRMED,1.0000
10682541,CONFIRMED,1.0000
11460018,CONFIRMED,1.0000
11507101,CONFIRMED,1.0000
10910878,CONFIRMED,0.9920
10910878,CONFIRMED,1.0000
10987985,CONFIRMED,1.0000
11018648,CONFIRMED,1.0000
11018648,CONFIRMED,0.9780
11138155,CONFIRMED,1.0000
11153539,CONFIRMED,1.0000
9579641,CONFIRMED,1.0000
11304958,CONFIRMED,0.9980
11391957,CONFIRMED,1.0000
11403044,CONFIRMED,1.0000
11414511,CONFIRMED,1.0000
12110942,CONFIRMED,1.0000
12366084,CONFIRMED,1.0000
12366084,CONFIRMED,1.0000
12404086,CONFIRMED,1.0000
8395660,CONFIRMED,1.0000
9579641,CONFIRMED,1.0000
11754553,CONFIRMED,1.0000
11754553,CONFIRMED,1.0000
11754553,CONFIRMED,1.0000
11812062,CONFIRMED,1.0000
11853255,CONFIRMED,1.0000
11918099,CONFIRMED,1.0000
11923270,CONFIRMED,1.0000
11960862,CONFIRMED,1.0000
12020329,CONFIRMED,1.0000
12066335,CONFIRMED,1.0000
12066335,CONFIRMED,1.0000
12070811,CONFIRMED,1.0000
8395660,CONFIRMED,0.9980
3342970,CONFIRMED,1.0000
3342970,CONFIRMED,1.0000
12470844,CONFIRMED,1.0000
12470844,CONFIRMED,0.9890
12644822,CONFIRMED,1.0000
2713049,CONFIRMED,1.0000
3114167,CONFIRMED,1.0000
4139816,CONFIRMED,1.0000
4139816,CONFIRMED,1.0000
8395660,CONFIRMED,0.9520
4139816,CONFIRMED,0.9940
4275191,CONFIRMED,1.0000
4476123,CONFIRMED,0.9990
3351888,CONFIRMED,1.0000
3641726,CONFIRMED,1.0000
3832474,CONFIRMED,1.0000
8395660,CONFIRMED,0.9500
3832474,CONFIRMED,0.7450
3832474,CONFIRMED,
3935914,CONFIRMED,1.0000
3940418,CONFIRMED,1.0000
4049131,CONFIRMED,1.0000
4139816,CONFIRMED,1.0000
5358241,CONFIRMED,1.0000
10875245,CONFIRMED,1.0000
5358241,CONFIRMED,0.9980
5358241,CONFIRMED,1.0000
5358624,CONFIRMED,0.9900
4664847,CONFIRMED,1.0000
4725681,CONFIRMED,1.0000
4725681,CONFIRMED,0.9950
4913852,CONFIRMED,1.0000
10875245,CONFIRMED,0.9920
5021899,CONFIRMED,1.0000
5164255,CONFIRMED,1.0000
5252423,CONFIRMED,1.0000
5252423,CONFIRMED,1.0000
5272878,CONFIRMED,1.0000
5651104,CONFIRMED,1.0000
5792202,CONFIRMED,1.0000
10875245,CONFIRMED,0.9980
5792202,CONFIRMED,1.0000
5436502,CONFIRMED,0.9990
5436502,CONFIRMED,0.9960
5436502,CONFIRMED,0.9970
5436502,CONFIRMED,1.0000
10875245,CONFIRMED,0.9950
5436502,CONFIRMED,0.9890
5456651,CONFIRMED,1.0000
5456651,CONFIRMED,0.8780
5531576,CONFIRMED,1.0000
5531576,CONFIRMED,1.0000
6291653,CONFIRMED,0.9990
6392727,CONFIRMED,1.0000
6422070,CONFIRMED,0.8760
6428700,CONFIRMED,1.0000
6428700,CONFIRMED,1.0000
5792202,CONFIRMED,1.0000
5794379,CONFIRMED,1.0000
5794379,CONFIRMED,0.9990
5881688,CONFIRMED,1.0000
6022556,CONFIRMED,1.0000
6032497,CONFIRMED,1.0000
6061119,CONFIRMED,0.9850
6191521,CONFIRMED,0.9420
3531558,CONFIRMED,0.9120
6276477,CONFIRMED,1.0000
6863998,CONFIRMED,1.0000
6948054,CONFIRMED,1.0000
6948054,CONFIRMED,1.0000
6948054,CONFIRMED,1.0000
6435936,CONFIRMED,0.9960
6522242,CONFIRMED,0.9740
6587280,CONFIRMED,1.0000
9471974,CONFIRMED,0.9590
6587280,CONFIRMED,0.9940
6685526,CONFIRMED,1.0000
6784235,CONFIRMED,1.0000
6849310,CONFIRMED,1.0000
6849310,CONFIRMED,1.0000
6849310,CONFIRMED,1.0000
9471974,CONFIRMED,0.9870
7366258,CONFIRMED,1.0000
7366258,CONFIRMED,0.9830
7366258,CONFIRMED,1.0000
7366258,CONFIRMED,1.0000
7373451,CONFIRMED,1.0000
6948054,CONFIRMED,1.0000
6949607,CONFIRMED,1.0000
6949607,CONFIRMED,1.0000
7109675,CONFIRMED,1.0000
7109675,CONFIRMED,1.0000
7118364,CONFIRMED,1.0000
7134976,CONFIRMED,1.0000
7134976,CONFIRMED,0.9970
7135852,CONFIRMED,1.0000
7287995,CONFIRMED,1.0000
7287995,CONFIRMED,1.0000
7287995,CONFIRMED,0.9980
7303253,CONFIRMED,1.0000
5094751,CONFIRMED,1.0000
7678434,CONFIRMED,1.0000
7678434,CONFIRMED,1.0000
7685981,CONFIRMED,1.0000
7373451,CONFIRMED,1.0000
7434875,CONFIRMED,1.0000
8349582,CONFIRMED,1.0000
7434875,CONFIRMED,0.0000
7434875,CONFIRMED,1.0000
7455287,CONFIRMED,1.0000
7455287,CONFIRMED,1.0000
7455287,CONFIRMED,0.9860
7458762,CONFIRMED,1.0000
757450,CONFIRMED,0.9990
7585481,CONFIRMED,1.0000
7663691,CONFIRMED,1.0000
5812701,CONFIRMED,0.6350
8039892,CONFIRMED,1.0000
8150320,CONFIRMED,1.0000
8150320,CONFIRMED,0.9970
11086270,CONFIRMED,0.4150
7825899,CONFIRMED,1.0000
7825899,CONFIRMED,1.0000
7849854,CONFIRMED,1.0000
7870390,CONFIRMED,1.0000
7870390,CONFIRMED,1.0000
5094751,CONFIRMED,1.0000
7870390,CONFIRMED,1.0000
7907423,CONFIRMED,0.9990
7907423,CONFIRMED,0.9990
7907423,CONFIRMED,0.9980
7938496,CONFIRMED,1.0000
8490993,CONFIRMED,1.0000
8490993,CONFIRMED,0.9990
8505670,CONFIRMED,1.0000
8505670,CONFIRMED,1.0000
8544996,CONFIRMED,0.9970
8150320,CONFIRMED,1.0000
8150320,CONFIRMED,1.0000
